Participant,Question,Response,Needs Reverse Coding?,Temp Coded Value,Temp Reversed Coded Value,Recoded Value
131,F2.2,Strongly Agree,No,5,1,5
132,F2.2,Strongly Agree,No,5,1,5
133,F2.2,Somewhat Agree,No,4,2,4
134,F2.2,Somewhat Agree,No,4,2,4
135,F2.2,Somewhat Agree,No,4,2,4
136,F2.2,Strongly Agree,No,5,1,5
137,F2.2,Somewhat Agree,No,4,2,4
138,F2.2,Somewhat Agree,No,4,2,4
139,F2.2,Strongly Agree,No,5,1,5
140,F2.2,Somewhat Agree,No,4,2,4
141,F2.2,Strongly Agree,No,5,1,5
142,F2.2,Strongly Agree,No,5,1,5
143,F2.2,Somewhat Agree,No,4,2,4
144,F2.2,Somewhat Agree,No,4,2,4
145,F2.2,Strongly Agree,No,5,1,5
146,F2.2,Somewhat Agree,No,4,2,4
147,F2.2,Somewhat Agree,No,4,2,4
148,F2.2,Strongly Agree,No,5,1,5
149,F2.2,Somewhat Agree,No,4,2,4
150,F2.2,Strongly Agree,No,5,1,5
151,F2.2,Strongly Agree,No,5,1,5
152,F2.2,Somewhat Agree,No,4,2,4
153,F2.2,Somewhat Disagree,No,2,4,2
154,F2.2,Strongly Agree,No,5,1,5
155,F2.2,Somewhat Agree,No,4,2,4
156,F2.2,Strongly Agree,No,5,1,5
157,F2.2,Strongly Agree,No,5,1,5
158,F2.2,Somewhat Agree,No,4,2,4
159,F2.2,Strongly Agree,No,5,1,5
160,F2.2,Somewhat Agree,No,4,2,4
161,F2.2,Somewhat Agree,No,4,2,4
162,F2.2,Somewhat Agree,No,4,2,4
163,F2.2,Somewhat Agree,No,4,2,4
164,F2.2,Strongly Agree,No,5,1,5
165,F2.2,Strongly Agree,No,5,1,5
166,F2.2,Strongly Agree,No,5,1,5
167,F2.2,Somewhat Agree,No,4,2,4
168,F2.2,Strongly Agree,No,5,1,5
169,F2.2,Somewhat Agree,No,4,2,4
170,F2.2,Strongly Agree,No,5,1,5
171,F2.2,Strongly Agree,No,5,1,5
172,F2.2,Strongly Agree,No,5,1,5
173,F2.2,Strongly Agree,No,5,1,5
174,F2.2,Strongly Agree,No,5,1,5
175,F2.2,Strongly Agree,No,5,1,5
176,F2.2,Strongly Agree,No,5,1,5
177,F2.2,Strongly Agree,No,5,1,5
178,F2.2,Somewhat Agree,No,4,2,4
179,F2.2,Strongly Agree,No,5,1,5
180,F2.2,Strongly Agree,No,5,1,5
181,F2.2,Strongly Agree,No,5,1,5
182,F2.2,Somewhat Agree,No,4,2,4
183,F2.2,Neither Agree nor Disagree,No,3,3,3
184,F2.2,Somewhat Agree,No,4,2,4
185,F2.2,Strongly Agree,No,5,1,5
186,F2.2,Somewhat Agree,No,4,2,4
187,F2.2,Somewhat Agree,No,4,2,4
188,F2.2,Somewhat Agree,No,4,2,4
189,F2.2,Strongly Agree,No,5,1,5
190,F2.2,Strongly Agree,No,5,1,5
191,F2.2,Strongly Agree,No,5,1,5
192,F2.2,Strongly Agree,No,5,1,5
193,F2.2,Strongly Agree,No,5,1,5
194,F2.2,Strongly Agree,No,5,1,5
195,F2.2,Somewhat Agree,No,4,2,4
196,F2.2,Somewhat Agree,No,4,2,4
197,F2.2,Somewhat Agree,No,4,2,4
198,F2.2,Strongly Agree,No,5,1,5
199,F2.2,Somewhat Agree,No,4,2,4
200,F2.2,Somewhat Agree,No,4,2,4
201,F2.2,Somewhat Agree,No,4,2,4
202,F2.2,Somewhat Agree,No,4,2,4
203,F2.2,Strongly Agree,No,5,1,5
204,F2.2,Somewhat Agree,No,4,2,4
205,F2.2,Somewhat Agree,No,4,2,4
206,F2.2,Somewhat Agree,No,4,2,4
207,F2.2,Strongly Agree,No,5,1,5
208,F2.2,Somewhat Agree,No,4,2,4
209,F2.2,Strongly Agree,No,5,1,5
210,F2.2,Strongly Agree,No,5,1,5
211,F2.2,Strongly Agree,No,5,1,5
212,F2.2,Somewhat Agree,No,4,2,4
213,F2.2,Strongly Agree,No,5,1,5
214,F2.2,Somewhat Agree,No,4,2,4
215,F2.2,Somewhat Agree,No,4,2,4
216,F2.2,Somewhat Agree,No,4,2,4
217,F2.2,Somewhat Agree,No,4,2,4
218,F2.2,Strongly Agree,No,5,1,5
219,F2.2,Somewhat Agree,No,4,2,4
220,F2.2,Somewhat Agree,No,4,2,4
221,F2.2,Strongly Agree,No,5,1,5
222,F2.2,Strongly Agree,No,5,1,5
223,F2.2,Somewhat Agree,No,4,2,4
224,F2.2,Strongly Agree,No,5,1,5
225,F2.2,Neither Agree nor Disagree,No,3,3,3
226,F2.2,Strongly Agree,No,5,1,5
227,F2.2,Strongly Agree,No,5,1,5
228,F2.2,Strongly Agree,No,5,1,5
229,F2.2,Strongly Agree,No,5,1,5
230,F2.2,Strongly Agree,No,5,1,5
231,F2.2,Strongly Agree,No,5,1,5
232,F2.2,Strongly Agree,No,5,1,5
233,F2.2,Somewhat Agree,No,4,2,4
234,F2.2,Somewhat Agree,No,4,2,4
235,F2.2,Somewhat Agree,No,4,2,4
236,F2.2,Somewhat Agree,No,4,2,4
237,F2.2,Strongly Agree,No,5,1,5
238,F2.2,Strongly Agree,No,5,1,5
239,F2.2,Somewhat Agree,No,4,2,4
240,F2.2,Strongly Agree,No,5,1,5
241,F2.2,Somewhat Agree,No,4,2,4
242,F2.2,Somewhat Agree,No,4,2,4
243,F2.2,Somewhat Agree,No,4,2,4
244,F2.2,Strongly Agree,No,5,1,5
245,F2.2,Strongly Agree,No,5,1,5
246,F2.2,Somewhat Agree,No,4,2,4
247,F2.2,Somewhat Agree,No,4,2,4
248,F2.2,Somewhat Agree,No,4,2,4
249,F2.2,Strongly Agree,No,5,1,5
250,F2.2,Somewhat Agree,No,4,2,4
251,F2.2,Strongly Agree,No,5,1,5
252,F2.2,Somewhat Agree,No,4,2,4
253,F2.2,Strongly Agree,No,5,1,5
254,F2.2,Somewhat Agree,No,4,2,4
255,F2.2,Somewhat Agree,No,4,2,4
256,F2.2,Somewhat Agree,No,4,2,4
257,F2.2,Somewhat Agree,No,4,2,4
258,F2.2,Somewhat Agree,No,4,2,4
259,F2.2,Somewhat Agree,No,4,2,4
260,F2.2,Strongly Agree,No,5,1,5
261,F2.2,Somewhat Agree,No,4,2,4
262,F2.2,Somewhat Agree,No,4,2,4
263,F2.2,Strongly Agree,No,5,1,5
264,F2.2,Strongly Agree,No,5,1,5
1,F6.1,Somewhat Agree,No,4,2,4
2,F6.1,Somewhat Agree,No,4,2,4
3,F6.1,Neither Agree nor Disagree,No,3,3,3
4,F6.1,Somewhat Agree,No,4,2,4
5,F6.1,Somewhat Agree,No,4,2,4
6,F6.1,Strongly Agree,No,5,1,5
7,F6.1,Strongly Agree,No,5,1,5
8,F6.1,Somewhat Agree,No,4,2,4
9,F6.1,Neither Agree nor Disagree,No,3,3,3
10,F6.1,Strongly Agree,No,5,1,5
11,F6.1,Somewhat Agree,No,4,2,4
12,F6.1,Strongly Agree,No,5,1,5
13,F6.1,Somewhat Agree,No,4,2,4
14,F6.1,Somewhat Agree,No,4,2,4
15,F6.1,Strongly Agree,No,5,1,5
16,F6.1,Somewhat Agree,No,4,2,4
17,F6.1,Strongly Agree,No,5,1,5
18,F6.1,Strongly Agree,No,5,1,5
19,F6.1,Strongly Agree,No,5,1,5
20,F6.1,Somewhat Agree,No,4,2,4
21,F6.1,Somewhat Agree,No,4,2,4
22,F6.1,Somewhat Agree,No,4,2,4
23,F6.1,Somewhat Agree,No,4,2,4
24,F6.1,Strongly Agree,No,5,1,5
25,F6.1,Somewhat Agree,No,4,2,4
26,F6.1,Somewhat Agree,No,4,2,4
27,F6.1,Somewhat Agree,No,4,2,4
28,F6.1,Somewhat Agree,No,4,2,4
29,F6.1,Somewhat Agree,No,4,2,4
30,F6.1,Somewhat Agree,No,4,2,4
31,F6.1,Strongly Agree,No,5,1,5
32,F6.1,Strongly Agree,No,5,1,5
33,F6.1,Strongly Agree,No,5,1,5
34,F6.1,Somewhat Agree,No,4,2,4
35,F6.1,Strongly Agree,No,5,1,5
36,F6.1,Strongly Agree,No,5,1,5
37,F6.1,Strongly Agree,No,5,1,5
38,F6.1,Somewhat Agree,No,4,2,4
39,F6.1,Somewhat Agree,No,4,2,4
40,F6.1,Strongly Agree,No,5,1,5
41,F6.1,Neither Agree nor Disagree,No,3,3,3
42,F6.1,Strongly Agree,No,5,1,5
43,F6.1,Strongly Agree,No,5,1,5
44,F6.1,Somewhat Agree,No,4,2,4
45,F6.1,Strongly Agree,No,5,1,5
46,F6.1,Neither Agree nor Disagree,No,3,3,3
47,F6.1,Neither Agree nor Disagree,No,3,3,3
48,F6.1,Somewhat Agree,No,4,2,4
49,F6.1,Somewhat Agree,No,4,2,4
50,F6.1,Somewhat Agree,No,4,2,4
51,F6.1,Strongly Agree,No,5,1,5
52,F6.1,Somewhat Agree,No,4,2,4
53,F6.1,Somewhat Agree,No,4,2,4
54,F6.1,Strongly Agree,No,5,1,5
55,F6.1,Somewhat Agree,No,4,2,4
56,F6.1,Somewhat Agree,No,4,2,4
57,F6.1,Strongly Agree,No,5,1,5
58,F6.1,Somewhat Agree,No,4,2,4
59,F6.1,Strongly Agree,No,5,1,5
60,F6.1,Somewhat Agree,No,4,2,4
61,F6.1,Strongly Agree,No,5,1,5
62,F6.1,Somewhat Agree,No,4,2,4
63,F6.1,Somewhat Agree,No,4,2,4
64,F6.1,Strongly Agree,No,5,1,5
65,F6.1,Somewhat Disagree,No,2,4,2
66,F6.1,Somewhat Agree,No,4,2,4
67,F6.1,Somewhat Agree,No,4,2,4
68,F6.1,Strongly Agree,No,5,1,5
69,F6.1,Somewhat Agree,No,4,2,4
70,F6.1,Strongly Agree,No,5,1,5
71,F6.1,Strongly Agree,No,5,1,5
72,F6.1,Somewhat Agree,No,4,2,4
73,F6.1,Neither Agree nor Disagree,No,3,3,3
74,F6.1,Strongly Agree,No,5,1,5
75,F6.1,Somewhat Disagree,No,2,4,2
76,F6.1,Strongly Agree,No,5,1,5
77,F6.1,Somewhat Agree,No,4,2,4
78,F6.1,Somewhat Agree,No,4,2,4
79,F6.1,Somewhat Agree,No,4,2,4
80,F6.1,Strongly Agree,No,5,1,5
81,F6.1,Strongly Agree,No,5,1,5
82,F6.1,Strongly Agree,No,5,1,5
83,F6.1,Somewhat Agree,No,4,2,4
84,F6.1,Neither Agree nor Disagree,No,3,3,3
85,F6.1,Somewhat Agree,No,4,2,4
86,F6.1,Neither Agree nor Disagree,No,3,3,3
87,F6.1,Somewhat Agree,No,4,2,4
88,F6.1,Somewhat Agree,No,4,2,4
89,F6.1,Neither Agree nor Disagree,No,3,3,3
90,F6.1,Somewhat Agree,No,4,2,4
91,F6.1,Strongly Agree,No,5,1,5
92,F6.1,Somewhat Disagree,No,2,4,2
93,F6.1,Somewhat Agree,No,4,2,4
94,F6.1,Strongly Agree,No,5,1,5
95,F6.1,Somewhat Agree,No,4,2,4
96,F6.1,Strongly Agree,No,5,1,5
97,F6.1,Strongly Agree,No,5,1,5
98,F6.1,Somewhat Agree,No,4,2,4
99,F6.1,Strongly Agree,No,5,1,5
100,F6.1,Somewhat Agree,No,4,2,4
101,F6.1,Neither Agree nor Disagree,No,3,3,3
102,F6.1,Somewhat Agree,No,4,2,4
103,F6.1,Somewhat Agree,No,4,2,4
104,F6.1,Somewhat Agree,No,4,2,4
105,F6.1,Somewhat Agree,No,4,2,4
106,F6.1,Somewhat Agree,No,4,2,4
107,F6.1,Neither Agree nor Disagree,No,3,3,3
108,F6.1,Somewhat Agree,No,4,2,4
109,F6.1,Somewhat Agree,No,4,2,4
110,F6.1,Somewhat Agree,No,4,2,4
111,F6.1,Neither Agree nor Disagree,No,3,3,3
112,F6.1,Somewhat Agree,No,4,2,4
113,F6.1,Somewhat Agree,No,4,2,4
114,F6.1,Somewhat Agree,No,4,2,4
115,F6.1,Strongly Agree,No,5,1,5
116,F6.1,Somewhat Agree,No,4,2,4
117,F6.1,Somewhat Agree,No,4,2,4
118,F6.1,Somewhat Agree,No,4,2,4
119,F6.1,Somewhat Agree,No,4,2,4
120,F6.1,Somewhat Agree,No,4,2,4
121,F6.1,Strongly Agree,No,5,1,5
122,F6.1,Somewhat Agree,No,4,2,4
123,F6.1,Neither Agree nor Disagree,No,3,3,3
124,F6.1,Somewhat Agree,No,4,2,4
125,F6.1,Somewhat Agree,No,4,2,4
126,F6.1,Somewhat Agree,No,4,2,4
127,F6.1,Somewhat Agree,No,4,2,4
128,F6.1,Somewhat Agree,No,4,2,4
129,F6.1,Somewhat Agree,No,4,2,4
130,F6.1,Somewhat Agree,No,4,2,4
131,F6.1,Strongly Agree,No,5,1,5
132,F6.1,Strongly Agree,No,5,1,5
133,F6.1,Neither Agree nor Disagree,No,3,3,3
134,F6.1,Somewhat Disagree,No,2,4,2
135,F6.1,Somewhat Agree,No,4,2,4
136,F6.1,Strongly Agree,No,5,1,5
137,F6.1,Somewhat Agree,No,4,2,4
138,F6.1,Somewhat Agree,No,4,2,4
139,F6.1,Strongly Agree,No,5,1,5
140,F6.1,Somewhat Agree,No,4,2,4
141,F6.1,Somewhat Agree,No,4,2,4
142,F6.1,Strongly Agree,No,5,1,5
143,F6.1,Somewhat Agree,No,4,2,4
144,F6.1,Strongly Agree,No,5,1,5
145,F6.1,Somewhat Agree,No,4,2,4
146,F6.1,Strongly Agree,No,5,1,5
147,F6.1,Somewhat Agree,No,4,2,4
148,F6.1,Somewhat Agree,No,4,2,4
149,F6.1,Strongly Agree,No,5,1,5
150,F6.1,Strongly Agree,No,5,1,5
151,F6.1,"",No,,,
152,F6.1,Somewhat Agree,No,4,2,4
153,F6.1,Somewhat Agree,No,4,2,4
154,F6.1,Strongly Agree,No,5,1,5
155,F6.1,Somewhat Agree,No,4,2,4
156,F6.1,Strongly Agree,No,5,1,5
157,F6.1,Strongly Agree,No,5,1,5
158,F6.1,Somewhat Agree,No,4,2,4
159,F6.1,Somewhat Agree,No,4,2,4
160,F6.1,Somewhat Agree,No,4,2,4
161,F6.1,Somewhat Agree,No,4,2,4
162,F6.1,Somewhat Agree,No,4,2,4
163,F6.1,Somewhat Agree,No,4,2,4
164,F6.1,Strongly Agree,No,5,1,5
165,F6.1,Strongly Agree,No,5,1,5
166,F6.1,Somewhat Agree,No,4,2,4
167,F6.1,Somewhat Agree,No,4,2,4
168,F6.1,Somewhat Agree,No,4,2,4
169,F6.1,Somewhat Agree,No,4,2,4
170,F6.1,Strongly Agree,No,5,1,5
171,F6.1,Strongly Agree,No,5,1,5
172,F6.1,Somewhat Agree,No,4,2,4
173,F6.1,Strongly Agree,No,5,1,5
174,F6.1,Strongly Agree,No,5,1,5
175,F6.1,Strongly Agree,No,5,1,5
176,F6.1,Somewhat Agree,No,4,2,4
177,F6.1,Neither Agree nor Disagree,No,3,3,3
178,F6.1,Somewhat Agree,No,4,2,4
179,F6.1,Somewhat Agree,No,4,2,4
180,F6.1,Somewhat Agree,No,4,2,4
181,F6.1,Strongly Agree,No,5,1,5
182,F6.1,Somewhat Agree,No,4,2,4
183,F6.1,Somewhat Agree,No,4,2,4
184,F6.1,Strongly Agree,No,5,1,5
185,F6.1,Strongly Agree,No,5,1,5
186,F6.1,Somewhat Agree,No,4,2,4
187,F6.1,Somewhat Agree,No,4,2,4
188,F6.1,Strongly Agree,No,5,1,5
189,F6.1,Somewhat Agree,No,4,2,4
190,F6.1,Somewhat Agree,No,4,2,4
191,F6.1,Strongly Agree,No,5,1,5
192,F6.1,Strongly Agree,No,5,1,5
193,F6.1,Somewhat Agree,No,4,2,4
194,F6.1,Somewhat Agree,No,4,2,4
195,F6.1,Somewhat Agree,No,4,2,4
196,F6.1,Somewhat Agree,No,4,2,4
197,F6.1,Strongly Agree,No,5,1,5
198,F6.1,Somewhat Agree,No,4,2,4
199,F6.1,Strongly Agree,No,5,1,5
200,F6.1,Somewhat Agree,No,4,2,4
201,F6.1,Somewhat Agree,No,4,2,4
202,F6.1,Somewhat Agree,No,4,2,4
203,F6.1,Strongly Agree,No,5,1,5
204,F6.1,Somewhat Agree,No,4,2,4
205,F6.1,Somewhat Agree,No,4,2,4
206,F6.1,Somewhat Agree,No,4,2,4
207,F6.1,Strongly Agree,No,5,1,5
208,F6.1,Strongly Agree,No,5,1,5
209,F6.1,Strongly Agree,No,5,1,5
210,F6.1,Somewhat Agree,No,4,2,4
211,F6.1,Somewhat Agree,No,4,2,4
212,F6.1,Somewhat Agree,No,4,2,4
213,F6.1,Strongly Agree,No,5,1,5
214,F6.1,Somewhat Agree,No,4,2,4
215,F6.1,Somewhat Agree,No,4,2,4
216,F6.1,Somewhat Agree,No,4,2,4
217,F6.1,Somewhat Agree,No,4,2,4
218,F6.1,Somewhat Agree,No,4,2,4
219,F6.1,Strongly Agree,No,5,1,5
220,F6.1,Somewhat Agree,No,4,2,4
221,F6.1,Strongly Agree,No,5,1,5
222,F6.1,Somewhat Agree,No,4,2,4
223,F6.1,Somewhat Agree,No,4,2,4
224,F6.1,Strongly Agree,No,5,1,5
225,F6.1,Neither Agree nor Disagree,No,3,3,3
226,F6.1,Strongly Agree,No,5,1,5
227,F6.1,Strongly Agree,No,5,1,5
228,F6.1,Somewhat Agree,No,4,2,4
229,F6.1,Strongly Agree,No,5,1,5
230,F6.1,Somewhat Agree,No,4,2,4
231,F6.1,Strongly Agree,No,5,1,5
232,F6.1,Strongly Agree,No,5,1,5
233,F6.1,Strongly Agree,No,5,1,5
234,F6.1,Strongly Agree,No,5,1,5
235,F6.1,Neither Agree nor Disagree,No,3,3,3
236,F6.1,Neither Agree nor Disagree,No,3,3,3
237,F6.1,Strongly Agree,No,5,1,5
238,F6.1,Strongly Agree,No,5,1,5
239,F6.1,Somewhat Agree,No,4,2,4
240,F6.1,Strongly Agree,No,5,1,5
241,F6.1,Somewhat Agree,No,4,2,4
242,F6.1,Somewhat Agree,No,4,2,4
243,F6.1,Somewhat Agree,No,4,2,4
244,F6.1,Strongly Agree,No,5,1,5
245,F6.1,Strongly Agree,No,5,1,5
246,F6.1,Somewhat Agree,No,4,2,4
247,F6.1,Strongly Agree,No,5,1,5
248,F6.1,Somewhat Agree,No,4,2,4
249,F6.1,Strongly Agree,No,5,1,5
250,F6.1,Somewhat Agree,No,4,2,4
251,F6.1,Strongly Agree,No,5,1,5
252,F6.1,Somewhat Agree,No,4,2,4
253,F6.1,Strongly Agree,No,5,1,5
254,F6.1,Somewhat Agree,No,4,2,4
255,F6.1,Somewhat Agree,No,4,2,4
256,F6.1,Somewhat Agree,No,4,2,4
257,F6.1,Strongly Agree,No,5,1,5
258,F6.1,Somewhat Agree,No,4,2,4
259,F6.1,Somewhat Agree,No,4,2,4
260,F6.1,Somewhat Agree,No,4,2,4
261,F6.1,Somewhat Agree,No,4,2,4
262,F6.1,Somewhat Agree,No,4,2,4
263,F6.1,Somewhat Agree,No,4,2,4
264,F6.1,Somewhat Agree,No,4,2,4
1,F2.3,Somewhat Agree,No,4,2,4
2,F2.3,Somewhat Agree,No,4,2,4
3,F2.3,Somewhat Agree,No,4,2,4
4,F2.3,Somewhat Agree,No,4,2,4
5,F2.3,Somewhat Disagree,No,2,4,2
6,F2.3,Somewhat Agree,No,4,2,4
7,F2.3,Somewhat Agree,No,4,2,4
8,F2.3,Somewhat Agree,No,4,2,4
9,F2.3,Strongly Agree,No,5,1,5
10,F2.3,Strongly Agree,No,5,1,5
11,F2.3,Somewhat Agree,No,4,2,4
12,F2.3,Strongly Agree,No,5,1,5
13,F2.3,Neither Agree nor Disagree,No,3,3,3
14,F2.3,Somewhat Agree,No,4,2,4
15,F2.3,Neither Agree nor Disagree,No,3,3,3
16,F2.3,Somewhat Agree,No,4,2,4
17,F2.3,Strongly Agree,No,5,1,5
18,F2.3,Strongly Agree,No,5,1,5
19,F2.3,Strongly Agree,No,5,1,5
20,F2.3,Neither Agree nor Disagree,No,3,3,3
21,F2.3,Strongly Agree,No,5,1,5
22,F2.3,Strongly Agree,No,5,1,5
23,F2.3,Somewhat Disagree,No,2,4,2
24,F2.3,Somewhat Agree,No,4,2,4
25,F2.3,Somewhat Agree,No,4,2,4
26,F2.3,Somewhat Agree,No,4,2,4
27,F2.3,Strongly Agree,No,5,1,5
28,F2.3,Neither Agree nor Disagree,No,3,3,3
29,F2.3,Strongly Agree,No,5,1,5
30,F2.3,Somewhat Agree,No,4,2,4
31,F2.3,Strongly Agree,No,5,1,5
32,F2.3,Somewhat Disagree,No,2,4,2
33,F2.3,Strongly Agree,No,5,1,5
34,F2.3,Strongly Agree,No,5,1,5
35,F2.3,Somewhat Agree,No,4,2,4
36,F2.3,Somewhat Disagree,No,2,4,2
37,F2.3,Strongly Agree,No,5,1,5
38,F2.3,Somewhat Agree,No,4,2,4
39,F2.3,Somewhat Agree,No,4,2,4
40,F2.3,Somewhat Agree,No,4,2,4
41,F2.3,Neither Agree nor Disagree,No,3,3,3
42,F2.3,Strongly Agree,No,5,1,5
43,F2.3,Somewhat Agree,No,4,2,4
44,F2.3,Somewhat Agree,No,4,2,4
45,F2.3,Strongly Agree,No,5,1,5
46,F2.3,Somewhat Agree,No,4,2,4
47,F2.3,Somewhat Agree,No,4,2,4
48,F2.3,Strongly Agree,No,5,1,5
49,F2.3,Strongly Agree,No,5,1,5
50,F2.3,Strongly Agree,No,5,1,5
51,F2.3,Somewhat Agree,No,4,2,4
52,F2.3,Somewhat Agree,No,4,2,4
53,F2.3,Neither Agree nor Disagree,No,3,3,3
54,F2.3,Strongly Agree,No,5,1,5
55,F2.3,Somewhat Agree,No,4,2,4
56,F2.3,Strongly Agree,No,5,1,5
57,F2.3,Strongly Agree,No,5,1,5
58,F2.3,Somewhat Agree,No,4,2,4
59,F2.3,Somewhat Agree,No,4,2,4
60,F2.3,Somewhat Agree,No,4,2,4
61,F2.3,Strongly Agree,No,5,1,5
62,F2.3,Somewhat Agree,No,4,2,4
63,F2.3,Somewhat Agree,No,4,2,4
64,F2.3,Strongly Agree,No,5,1,5
65,F2.3,Strongly Agree,No,5,1,5
66,F2.3,Strongly Agree,No,5,1,5
67,F2.3,Neither Agree nor Disagree,No,3,3,3
68,F2.3,Strongly Agree,No,5,1,5
69,F2.3,Strongly Agree,No,5,1,5
70,F2.3,Strongly Agree,No,5,1,5
71,F2.3,Strongly Agree,No,5,1,5
72,F2.3,Somewhat Agree,No,4,2,4
73,F2.3,Somewhat Agree,No,4,2,4
74,F2.3,Strongly Agree,No,5,1,5
75,F2.3,Strongly Agree,No,5,1,5
76,F2.3,Somewhat Agree,No,4,2,4
77,F2.3,Somewhat Disagree,No,2,4,2
78,F2.3,Somewhat Agree,No,4,2,4
79,F2.3,Somewhat Agree,No,4,2,4
80,F2.3,Strongly Agree,No,5,1,5
81,F2.3,Strongly Agree,No,5,1,5
82,F2.3,Strongly Agree,No,5,1,5
83,F2.3,Somewhat Agree,No,4,2,4
84,F2.3,Somewhat Agree,No,4,2,4
85,F2.3,Strongly Agree,No,5,1,5
86,F2.3,Neither Agree nor Disagree,No,3,3,3
87,F2.3,Strongly Agree,No,5,1,5
88,F2.3,Somewhat Agree,No,4,2,4
89,F2.3,Strongly Agree,No,5,1,5
90,F2.3,Somewhat Agree,No,4,2,4
91,F2.3,Strongly Agree,No,5,1,5
92,F2.3,Strongly Agree,No,5,1,5
93,F2.3,Strongly Agree,No,5,1,5
94,F2.3,Somewhat Agree,No,4,2,4
95,F2.3,Somewhat Agree,No,4,2,4
96,F2.3,Somewhat Agree,No,4,2,4
97,F2.3,Somewhat Agree,No,4,2,4
98,F2.3,Strongly Agree,No,5,1,5
99,F2.3,Somewhat Agree,No,4,2,4
100,F2.3,Somewhat Agree,No,4,2,4
101,F2.3,Somewhat Agree,No,4,2,4
102,F2.3,Somewhat Agree,No,4,2,4
103,F2.3,Strongly Agree,No,5,1,5
104,F2.3,Somewhat Agree,No,4,2,4
105,F2.3,Somewhat Agree,No,4,2,4
106,F2.3,Somewhat Disagree,No,2,4,2
107,F2.3,Somewhat Agree,No,4,2,4
108,F2.3,Strongly Agree,No,5,1,5
109,F2.3,Strongly Agree,No,5,1,5
110,F2.3,Strongly Agree,No,5,1,5
111,F2.3,Somewhat Disagree,No,2,4,2
112,F2.3,Somewhat Agree,No,4,2,4
113,F2.3,Somewhat Agree,No,4,2,4
114,F2.3,Somewhat Agree,No,4,2,4
115,F2.3,Somewhat Agree,No,4,2,4
116,F2.3,Somewhat Agree,No,4,2,4
117,F2.3,Somewhat Agree,No,4,2,4
118,F2.3,Somewhat Agree,No,4,2,4
119,F2.3,Somewhat Agree,No,4,2,4
120,F2.3,Somewhat Agree,No,4,2,4
121,F2.3,Somewhat Agree,No,4,2,4
122,F2.3,Somewhat Agree,No,4,2,4
123,F2.3,Neither Agree nor Disagree,No,3,3,3
124,F2.3,Strongly Agree,No,5,1,5
125,F2.3,Somewhat Agree,No,4,2,4
126,F2.3,Somewhat Disagree,No,2,4,2
127,F2.3,Somewhat Agree,No,4,2,4
128,F2.3,Somewhat Agree,No,4,2,4
129,F2.3,Neither Agree nor Disagree,No,3,3,3
130,F2.3,Neither Agree nor Disagree,No,3,3,3
131,F2.3,Strongly Agree,No,5,1,5
132,F2.3,Strongly Agree,No,5,1,5
133,F2.3,Somewhat Agree,No,4,2,4
134,F2.3,Somewhat Agree,No,4,2,4
135,F2.3,Strongly Agree,No,5,1,5
136,F2.3,Somewhat Agree,No,4,2,4
137,F2.3,Neither Agree nor Disagree,No,3,3,3
138,F2.3,Somewhat Disagree,No,2,4,2
139,F2.3,Strongly Agree,No,5,1,5
140,F2.3,Somewhat Agree,No,4,2,4
141,F2.3,Strongly Agree,No,5,1,5
142,F2.3,Somewhat Agree,No,4,2,4
143,F2.3,Somewhat Agree,No,4,2,4
144,F2.3,Somewhat Agree,No,4,2,4
145,F2.3,Strongly Agree,No,5,1,5
146,F2.3,Strongly Agree,No,5,1,5
147,F2.3,Somewhat Agree,No,4,2,4
148,F2.3,Somewhat Agree,No,4,2,4
149,F2.3,Somewhat Agree,No,4,2,4
150,F2.3,Strongly Agree,No,5,1,5
151,F2.3,Somewhat Agree,No,4,2,4
152,F2.3,Somewhat Agree,No,4,2,4
153,F2.3,Strongly Agree,No,5,1,5
154,F2.3,Strongly Agree,No,5,1,5
155,F2.3,Neither Agree nor Disagree,No,3,3,3
156,F2.3,Strongly Disagree,No,1,5,1
157,F2.3,Strongly Agree,No,5,1,5
158,F2.3,Somewhat Agree,No,4,2,4
159,F2.3,Neither Agree nor Disagree,No,3,3,3
160,F2.3,Somewhat Agree,No,4,2,4
161,F2.3,Somewhat Agree,No,4,2,4
162,F2.3,Somewhat Agree,No,4,2,4
163,F2.3,Neither Agree nor Disagree,No,3,3,3
164,F2.3,Strongly Agree,No,5,1,5
165,F2.3,Strongly Agree,No,5,1,5
166,F2.3,Somewhat Agree,No,4,2,4
167,F2.3,Somewhat Agree,No,4,2,4
168,F2.3,Somewhat Agree,No,4,2,4
169,F2.3,Somewhat Agree,No,4,2,4
170,F2.3,Somewhat Agree,No,4,2,4
171,F2.3,Somewhat Agree,No,4,2,4
172,F2.3,Somewhat Agree,No,4,2,4
173,F2.3,Somewhat Agree,No,4,2,4
174,F2.3,Strongly Agree,No,5,1,5
175,F2.3,Strongly Agree,No,5,1,5
176,F2.3,Strongly Agree,No,5,1,5
177,F2.3,Somewhat Agree,No,4,2,4
178,F2.3,Strongly Disagree,No,1,5,1
179,F2.3,Somewhat Agree,No,4,2,4
180,F2.3,Somewhat Agree,No,4,2,4
181,F2.3,Somewhat Agree,No,4,2,4
182,F2.3,Neither Agree nor Disagree,No,3,3,3
183,F2.3,Somewhat Agree,No,4,2,4
184,F2.3,Somewhat Agree,No,4,2,4
185,F2.3,Strongly Agree,No,5,1,5
186,F2.3,Somewhat Agree,No,4,2,4
